"",,,,,,,,,,,,,,,,,اِس تحَث,,,,,,,,,,اِحْتث,,,,,,,,,,َتَّاث,,,,,,,,,,أَحَث,,,,,حاث,,,,,حَثث َ,,,,,,,,,,,,,,,حَث   1,,,,,ص (ص ص),,,,,201,,,,,5,,,,,ح ث ث,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّث َ,,,,,أَحْثَ َ,,,,,,,,,,حَث َ,,,,,حَثِ َ  4,,,,,,,,,,حَثَ  1,,,,,ص ص ص,,,,,527,,,,,10,,,,,ح ث ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْثلَ َ,,,,,,,,,,,,,,,حَثِل َ  4,,,,,,,,,,,,,,,ص ص ص,,,,,277,,,,,28,,,,,ح ث ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَثَ  2,,,,,ص ص ص,,,,,442,,,,,31,,,,,ح ث م,,
"",,,,,,,,,,,,,,,,,اِس تحْثَ,,,,,,,,,,اِحْتثَ,,,,,,,,,,,,,,,,,,,,أَحْثَ,,,,,,,,,,,,,,,,,,,,,,,,,حَثا  1,,,,,ص ص ع,,,,,399,,,,,37,,,,,ح ث و,,
"",,,,,,,,,,,,,,,,,اِس تحْثَ,,,,,,,,,,اِحْتثَ,,,,,,,,,,,,,,,,,,,,أَحْثَ,,,,,,,,,,,,,,,,,,,,,,,,,حَثَ   23,,,,,ص ص ع,,,,,399,,,,,37,,,,,ح ث ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّجأ,,,,,,,,,,,,,,,,,,,,حَجِئَ  4,,,,,,,,,,حَجَأ  3,,,,,ص ص ء,,,,,187,,,,,1,,,,,ح ج ء,,
"",,,,,,,,,,,,,,,,,اِس تحْجَ  َب,,,,,,,,,,اِحْتجَ  َب,,,,,اِنْْجَ  َب,,,,,,,,,,تََّجب َ,,,,,,,,,,,,,,,حَج  َب,,,,,,,,,,,,,,,حَجَ  َب  1,,,,,ص ص ص,,,,,239,,,,,2,,,,,ح ج ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتج,,,,,,,,,,َتَّاج,,,,,تََّجج َ,,,,,أَحَج,,,,,حاج,,,,,حَج ج َ,,,,,,,,,,,,,,,حَج   1,,,,,ص (ص ص),,,,,459,,,,,5,,,,,ح ج ج,,
"",,,,,,,,,,,,,,,,,اِس تحْجَر َ,,,,,,,,,,اِحْتجََر َ,,,,,,,,,,,,,,,تََّجر َ,,,,,أَحْجَ  َر,,,,,,,,,,حَجر َ,,,,,,,,,,,,,,,حَجَر َ  1,,,,,ص ص ص,,,,,530,,,,,10,,,,,ح ج ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتجََ  َز,,,,,اِنْْجَز َ,,,,,تَّ َاجَز َ,,,,,تََّجز َ,,,,,أَحْجَ  َز,,,,,حاجَز َ,,,,,,,,,,حَجِز َ  4,,,,,,,,,,حَجَز َ   21,,,,,ص ص ص,,,,,92,,,,,15,,,,,ح ج ز,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اَحْتجََفَ,,,,,اِنْْجَفَ,,,,,,,,,,,,,,,,,,,,حاجَفَ,,,,,,,,,,,,,,,,,,,,حُجِفَ  3,,,,,ص ص ص,,,,,118,,,,,23,,,,,ح ج ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّجل َ,,,,,أَحْجَ  َل,,,,,,,,,,حَجل َ,,,,,حَجِل َ  4,,,,,,,,,,حَجَل َ   12,,,,,ص ص ص,,,,,279,,,,,28,,,,,ح ج ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتجََ  َم,,,,,,,,,,,,,,,,,,,,أَحْجَم َ,,,,,,,,,,حَجم َ,,,,,,,,,,حَجُمَ  5,,,,,حَجَم َ   12,,,,,ص ص ص,,,,,444,,,,,31,,,,,ح ج م,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتجَن َ,,,,,,,,,,,,,,,تََّجن َ,,,,,أَحْجَ  َن,,,,,حاجَن َ,,,,,حَجن َ,,,,,حَجِ  َن  4,,,,,,,,,,حَجَن َ   32,,,,,ص ص ص,,,,,399,,,,,34,,,,,ح ج ن,,
"",,,,,,,,,,,,,,,,,اِس تحْجَى,,,,,,,,,,اِحْتجََى,,,,,,,,,,َتَّاجَ,,,,,تََّجى,,,,,أَحْجَى,,,,,حاجَ,,,,,,,,,,حَجِ  َي  4,,,,,,,,,,حَجا  1,,,,,ص ص ع,,,,,401,,,,,37,,,,,ح ج و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْجَى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ع,,,,,401,,,,,37,,,,,ح ج ي,,
"",,,,,,,,,,,,,,,,,اِس تحَْدَ َأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَدِئ َ  4,,,,,,,,,,حَدَ َأ  3,,,,,ص ص ء,,,,,188,,,,,1,,,,,ح د ء,,
"",,,,,,,,,,,,اِحْدَوْدَبَ,,,,,,,,,,,,,,,,,,,,,,,,,تََّادَبَ,,,,,تََّدبَ,,,,,أَحْدَبَ,,,,,,,,,,حَدبَ,,,,,حَدِبَ   4,,,,,,,,,,,,,,,ص ص ص,,,,,243,,,,,2,,,,,ح د ب,,
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,اِس تحَْدَثَ,,,,,,,,,,,,,,,,,,,,َتَّادَثَ,,,,,تََّدثَ,,,,,أَحْدَثَ,,,,,حادَثَ,,,,,حَدثَ,,,,,,,,,,حَدُثَ  5,,,,,حَدَثَ   1,,,,,ص ص ص,,,,,205,,,,,5,,,,,ح د ث,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْدَج َ,,,,,,,,,,حَدج َ,,,,,,,,,,,,,,,حَدَج َ  2,,,,,ص ص ص,,,,,468,,,,,5,,,,,ح د ج,,
"",,,,,,,,,,,,,,,,,اِس تحََد,,,,,,,,,,اِحْتد,,,,,اِنْْد,,,,,َتَّاد,,,,,تََّدد َ,,,,,أَحَد,,,,,حاد,,,,,حَدد َ,,,,,,,,,,,,,,,حَد    21,,,,,ص (ص ص),,,,,6,,,,,8,,,,,ح د د,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْدَر َ,,,,,َتَّادَ  َر,,,,,تََّدر َ,,,,,أَحْدَر َ,,,,,,,,,,حَدر َ,,,,,حَدِر َ  4,,,,,حَدُرَ  5,,,,,حَدَر َ   12,,,,,ص ص ص,,,,,554,,,,,10,,,,,ح د ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّدسَ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَدَسَ    12,,,,,ص ص ص,,,,,527,,,,,15,,,,,ح د س,,
"",,,,,,,,,,,,اِحْدَوْدَقَ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْدَقَ,,,,,,,,,,حَدقَ,,,,,,,,,,,,,,,حَدَقَ   2,,,,,ص ص ص,,,,,141,,,,,25,,,,,ح د ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تَّ َادَ  َل,,,,,تََّدل َ,,,,,أَحْدَل َ,,,,,حادَل َ,,,,,,,,,,حَدِ  َل  4,,,,,,,,,,حَدَلَ  2,,,,,ص ص ص,,,,,287,,,,,28,,,,,ح د ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتدََم َ,,,,,,,,,,,,,,,تََّدم َ,,,,,أَحْدَم َ,,,,,,,,,,,,,,,حَدِ  َم  4,,,,,,,,,,حَدَم َ  2,,,,,ص ص ص,,,,,446,,,,,31,,,,,ح د م,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتدََى,,,,,,,,,,تََّادَى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَدا  1,,,,,ص ص و,,,,,408,,,,,37,,,,,ح د و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّدى,,,,,أَحْدَى,,,,,,,,,,حَدى,,,,,حَدِيَ  4,,,,,,,,,,,,,,,ص ص ي,,,,,409,,,,,37,,,,,ح د ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَذ   4,,,,,,,,,,حَذ   1,,,,,ص (ص ص),,,,,393,,,,,9,,,,,ح ذ ذ,,
"",,,,,,,اِحْذار,,,,,,,,,,,,,,,,,,,,اِحْتذََر َ,,,,,,,,,,,,,,,تََّذر َ,,,,,أَحْذَر َ,,,,,حاذَر َ,,,,,حَذر َ,,,,,حَذِر َ  4,,,,,,,,,,,,,,,ص ص ص,,,,,564,,,,,10,,,,,ح ذ ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتذََفَ,,,,,اِنْْذَفَ,,,,,تََّاذَفَ,,,,,تََّذفَ,,,,,,,,,,,,,,,حَذفَ,,,,,,,,,,,,,,,حَذَفَ   2,,,,,ص ص ص,,,,,121,,,,,23,,,,,ح ذ ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْذَقَ,,,,,,,,,,تََّذقَ,,,,,أَحْذَقَ,,,,,,,,,,حَذقَ,,,,,حَذِقَ  4,,,,,,,,,,حَذَقَ   2,,,,,ص ص ص,,,,,145,,,,,25,,,,,ح ذ ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّذل َ,,,,,أَحْذَ  َل,,,,,,,,,,,,,,,حَذِ  َل  4,,,,,,,,,,,,,,,ص ص ص,,,,,290,,,,,28,,,,,ح ذ ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَذَم َ  2,,,,,ص ص ص,,,,,448,,,,,31,,,,,ح ذ م,,
"",,,,,,,,,,,,,,,,,اِس تحَْذَى,,,,,,,,,,اِحْتذََى,,,,,,,,,,َتَّاذَى,,,,,,,,,,أَحْذا,,,,,حاذَى,,,,,,,,,,,,,,,,,,,,حَذا  1,,,,,ص ص ع,,,,,411,,,,,37,,,,,ح ذ و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,َتَّاذَى,,,,,تََّذى,,,,,أَحْذَى,,,,,,,,,,,,,,,حَذِيَ  4,,,,,,,,,,حَذَى  2,,,,,ص ص ع,,,,,411,,,,,37,,,,,ح ذ ي,,
"",,,,,,,,,,,,,,,,,اِس تحْرَبَ,,,,,,,,,,اِحْتَبَ,,,,,,,,,,تَّ َارَبَ,,,,,تََّربَ,,,,,أَحْرَبَ,,,,,حارَبَ,,,,,حَربَ,,,,,حَرِبَ   4,,,,,,,,,,حَرَبَ   1,,,,,ص ص ص,,,,,249,,,,,2,,,,,ح ر ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَرِتَ  4,,,,,,,,,,حَرَتَ   1,,,,,ص ص ص,,,,,493,,,,,4,,,,,ح ر ت,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتَثَ,,,,,اِنْْرَثَ,,,,,,,,,,,,,,,أَحْرَثَ,,,,,,,,,,حَرثَ,,,,,حَرِثَ  4,,,,,,,,,,حَرَثَ    21,,,,,ص ص ص,,,,,214,,,,,5,,,,,ح ر ث,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّرج َ,,,,,أَحْرَج َ,,,,,,,,,,حَر  َج,,,,,حَرِج َ  4,,,,,,,,,,حَرَج َ  1,,,,,ص ص ص,,,,,473,,,,,5,,,,,ح ر ج,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَرِحَ  4,,,,,,,,,,حَرَحَ  3,,,,,ص ص ص,,,,,356,,,,,6,,,,,ح ر ح,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْرَد َ,,,,,تََّارَ َد,,,,,تََّرد َ,,,,,أَحْرَد َ,,,,,حارَد َ,,,,,حَرد َ,,,,,حَرِ َد  4,,,,,,,,,,حَرَد َ  2,,,,,ص ص ص,,,,,16,,,,,8,,,,,ح ر د,,
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََل َ,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََع  َل,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَر  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَرِرَ  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,اِس تحْرَز َ,,,,,,,,,,اِحْتَ  َز,,,,,اِنْْرَز َ,,,,,,,,,,تََّرز َ,,,,,أَحْرَز َ,,,,,حا َرز َ,,,,,حَرز َ,,,,,حَرِ َز  4,,,,,حَرُز َ  5,,,,,حَرَز َ  1,,,,,ص ص ص,,,,,99,,,,,15,,,,,ح ر ز,,
"",,,,,,,,,,,,,,,,,اِس تحْرَسَ,,,,,,,,,,اِحْتَسَ,,,,,,,,,,تََّارَسَ,,,,,تََّرسَ,,,,,أَحْرَسَ,,,,,,,,,,حَرسَ,,,,,حَرِسَ   4,,,,,,,,,,حَرَسَ    21,,,,,ص ص ص,,,,,531,,,,,15,,,,,ح ر س,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتَشَ,,,,,,,,,,تََّارَشَ,,,,,تََّرشَ,,,,,أَحْرَشَ,,,,,حارَشَ,,,,,حَرشَ,,,,,حَرِشَ  4,,,,,,,,,,حَرَشَ   2,,,,,ص ص ص,,,,,134,,,,,17,,,,,ح ر ش,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتَصَ,,,,,,,,,,,,,,,تََّرصَ,,,,,,,,,,,,,,,حَرصَ,,,,,حَرِصَ  4,,,,,,,,,,حَرَصَ   12,,,,,ص ص ص,,,,,510,,,,,17,,,,,ح ر ص,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تَّ َارَضَ,,,,,تََّرضَ,,,,,أَحْرَضَ,,,,,حارَضَ,,,,,حَرضَ,,,,,حَرِضَ   4,,,,,حَرُضَ  5,,,,,حَرَضَ   21,,,,,ص ص ص,,,,,284,,,,,18,,,,,ح ر ض,,
"",,,,,,,,,,,,اِحْرَوْرَفَ,,,,,,,,,,,,,,,اِحْتَفَ,,,,,اِنْْرَفَ,,,,,تَّ َا َرفَ,,,,,تََّرفَ,,,,,أَحْرَفَ,,,,,حارَفَ,,,,,حَرفَ,,,,,,,,,,حَرُفَ  5,,,,,حَرَفَ   12,,,,,ص ص ص,,,,,128,,,,,23,,,,,ح ر ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتَقَ,,,,,اِنْْرَقَ,,,,,,,,,,تََّرقَ,,,,,أَحْرَقَ,,,,,حارَقَ,,,,,حَرقَ,,,,,حَرِقَ   4,,,,,,,,,,حَرَقَ   21,,,,,ص ص ص,,,,,149,,,,,25,,,,,ح ر ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّرك َ,,,,,,,,,,,,,,,حَرك َ,,,,,حَرِ  َك   64,,,,,حَرُك َ  5,,,,,حَرَ  َك  1,,,,,ص ص ص,,,,,109,,,,,27,,,,,ح ر ك,,
"",,,,,,,,,,,,,,,,,اِس تحْرَم َ,,,,,,,,,,اِحْتَم َ,,,,,اِنْْرَم َ,,,,,,,,,,تََّرم َ,,,,,أَحْرَم َ,,,,,,,,,,حَرم َ,,,,,حَرِمَ  4,,,,,حَرُ َم  5,,,,,حَرَم َ  2,,,,,ص ص ص,,,,,452,,,,,31,,,,,ح ر م,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْرَن َ,,,,,,,,,,,,,,,,,,,,حَرُنَ  5,,,,,حَرَ  َن  1,,,,,ص ص ص,,,,,405,,,,,34,,,,,ح ر ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَ را  1,,,,,ص ص ع,,,,,416,,,,,37,,,,,ح ر و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّرى,,,,,أَحْرَى,,,,,,,,,,,,,,,,,,,,,,,,,حَ َرى  2,,,,,ص ص ع,,,,,416,,,,,37,,,,,ح ر ي,,
"",,,,,,,,,,,,اِحْزَوْزَ َأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَزَأَ  13,,,,,ص ص ء,,,,,191,,,,,1,,,,,ح ز ء,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتََبَ,,,,,,,,,,تَّ َازَبَ,,,,,تََّزبَ,,,,,,,,,,حازَبَ,,,,,حَزبَ,,,,,,,,,,,,,,,حَزَبَ  1,,,,,ص ص ص,,,,,261,,,,,2,,,,,ح ز ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْزَر َ,,,,,,,,,,,,,,,أَحْ  َزر َ,,,,,,,,,,حَ زر َ,,,,,,,,,,حَزُرَ  5,,,,,حَزَ َر   21,,,,,ص ص ص,,,,,5,,,,,11,,,,,ح ز ر,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتََ,,,,,,,,,,,,,,,تََّزز َ,,,,,أَحَز,,,,,حاز,,,,,حَزز َ,,,,,,,,,,,,,,,حَز   1,,,,,ص (ص ص),,,,,104,,,,,15,,,,,ح ز ز,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْزَقَ,,,,,,,,,,تََّزقَ,,,,,أَحْزَقَ,,,,,,,,,,حَزقَ,,,,,حَزِقَ  4,,,,,,,,,,حَزَقَ  2,,,,,ص ص ص,,,,,160,,,,,25,,,,,ح ز ق,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتََك َ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَزك َ,,,,,,,,,,,,,,,حَزَكَ  2,,,,,ص ص ص,,,,,111,,,,,27,,,,,ح ز ك,,
"",,,,,,,اِحْزال,,,,,,,,,,,,,,,اِحْزَل,,,,,اِحْتََ  َل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,,,,,,,ح ز ل,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,اِحْزَوْزَم َ,,,,,,,,,,,,,,,اِحْتََم َ,,,,,اِنْْزَم َ,,,,,,,,,,تََّزم َ,,,,,أَحْزَم َ,,,,,,,,,,حَزم َ,,,,,حَزِم َ  4,,,,,حَزُ َم  5,,,,,حَزَم َ  2,,,,,ص ص ص,,,,,477,,,,,31,,,,,ح ز م,,
"",,اِفعَْول َ,,,,,اِفعْال,,,,,اِفعَْوْعلَ َ,,,,,اِس تفْعَل َ,,,,,اِفعَْل,,,,,اِفتْعََ  َل,,,,,اِنفَْعَل َ,,,,,تفَاعلَ َ,,,,,تفََعل َ,,,,,أَفعَْل َ,,,,,فاعلَ َ,,,,,فعَل َ,,,,,فعَِل َ,,,,,فعَُل َ,,,,,فعََل َ,,,,,ال نوع,,,,,الصفحة,,,,,المجلد,,,,,الجذر,,
"",,,,,,,,,,,,,,,,,اِس تحْزَن َ,,,,,,,,,,اِحْتََ  َن,,,,,,,,,,تَّ َازَن َ,,,,,تََّزن َ,,,,,أَحْزَن َ,,,,,,,,,,حَزن َ,,,,,حَزِن َ  4,,,,,حَزُن َ  5,,,,,حَزَن َ  1,,,,,ص ص ص,,,,,411,,,,,34,,,,,ح ز ن,,
"",,,,,,,,,,,,اِحْزَوْزَى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّزى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَ زا  1,,,,,ص ص ع,,,,,422,,,,,37,,,,,ح ز و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تََّزى,,,,,أَحْزَى,,,,,,,,,,حَ زى,,,,,حَزِيَ  4,,,,,,,,,,حَ زا  1,,,,,ص ص ع,,,,,422,,,,,37,,,,,ح ز ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَسِ  َب  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,اِس تحْسَ  َب,,,,,,,,,,اِحْتسََ  َب,,,,,اِنْْسَ  َب,,,,,تَّ َاسَب َ,,,,,تََّسب َ,,,,,أَحْسَب َ,,,,,حاسَب َ,,,,,حَسب َ,,,,,,,,,حَسُب َ  5,,,,,حَسَب َ  1,,,,,ص ص ص,,,,,267,,,,,2,,,,,ح س ب,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْسَ  َد,,,,,تَّ َاسَد َ,,,,,,,,,,أَحْسَد َ,,,,,,,,,,حَسد َ,,,,,,,,,,,,,,,حَسَ  َد   21,,,,,ص ص ص,,,,,25,,,,,8,,,,,ح س د,,
"",,,,,,,,,,,,,,,,,"اِس تحْَسَ",,,,,,,,,,,,,,,اِنْْسَ َ,,,,,,,,,,تََّس َ,,,,,أَحْسَ َ,,,,,,,,,,حَس َ,,,,,"حََسِ  4",,,,,حَسُ  5,,,,,حَسَ َ   21,,,,,ص ص ص,,,,,11,,,,,11,,,,,ح س ر,,
"",,,,,,,,,,,,,,,,,اِس تحَس,,,,,,,,,,اِحْتسّ,,,,,اِنْْس,,,,,,,,,,تََّسسَ,,,,,أَحَس,,,,,,,,,,حَسسَ,,,,,حَسِسَ  4,,,,,,,,,,حَس    121,,,,,ص (ص ص),,,,,535,,,,,15,,,,,ح س س,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْسَفَ,,,,,,,,,,تََّسفَ,,,,,أَحْسَفَ,,,,,,,,,,حَسفَ,,,,,حَسِفَ  4,,,,,,,,,,حَسَفَ   2,,,,,ص ص ص,,,,,139,,,,,23,,,,,ح س ف,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أَحْسَ  َك,,,,,,,,,,حَسك َ,,,,,حَسِ  َك  4,,,,,,,,,,,,,,,ص ص ص,,,,,111,,,,,27,,,,,ح س ك,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتسََل َ,,,,,,,,,,,,,,,تََّسل َ,,,,,,,,,,,,,,,حَسل َ,,,,,,,,,,,,,,,حَسَل َ  1,,,,,ص ص ص,,,,,298,,,,,28,,,,,ح س ل,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اِنْْسَ  َم,,,,,,,,,,تََّسم َ,,,,,,,,,,,,,,,حَسم َ,,,,,,,,,,,,,,,حَسَم َ  2,,,,,ص ص ص,,,,,487,,,,,31,,,,,ح س م,,
"",,,,,,,,,,,,,,,,,اِس تحْسَن َ,,,,,,,,,,,,,,,,,,,,تََّاسَن َ,,,,,تََّسن َ,,,,,أَحْسَ  َن,,,,,حاسَن َ,,,,,حَسن َ,,,,,,,,,,حَسُن َ  5,,,,,حَسَنَ  1,,,,,ص ص ص,,,,,418,,,,,34,,,,,ح س ن,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتسََ,,,,,,,,,,َتَّاسَّ,,,,,تََّس,,,,,أَحْسَ,,,,,حاسَّ,,,,,حَس,,,,,,,,,,,,,,,حَسا  1,,,,,ص ص و,,,,,425,,,,,37,,,,,ح س و,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتسََ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَس,,,,,حَسِ َ  4,,,,,,,,,,,,,,,ص ص ي,,,,,742,,,,,37,,,,,ح س ي,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حَشَأ  3,,,,,ص ص ء,,,,,192,,,,,1,,,,,ح ش ء,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتشََ  َب,,,,,,,,,,,,,,,,,,,,أَحْشَ  َب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ص ص ص,,,,,280,,,,,2,,,,,ح ش ب,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتشََد َ,,,,,اِنْْشَ  َد,,,,,تَّ َاشَد َ,,,,,تََّشد َ,,,,,أَحْشَ  َد,,,,,,,,,,حَش  َد,,,,,,,,,,,,,,,حَشَد َ   12,,,,,ص ص ص,,,,,26,,,,,8,,,,,ح ش د,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,اِحْتشََ َ,,,,,اِنْْشَ َ,,,,,,,,,,تََّش َ,,,,,,,,,,,,,,,حَش َ,,,,,"حََشِ  4",,,,,,,,,,حَشَ َ   21,,,,,ص ص ص,,,,,18,,,,,11,,,,,ح ش ر,,
